,Area,count,mean,std,min,25%,50%,75%,max
234,South Sudan,108.0,1.2206851851851852,0.72729856893617,-0.905,0.73025,1.2265000000000001,1.68425,3.048
235,South-Eastern Asia,708.0,0.3558149717514124,0.4733973645110676,-1.121,0.03875,0.321,0.65525,1.907
236,Southern Africa,708.0,0.4363983050847458,0.7816230436012587,-2.226,-0.058,0.347,0.974,2.912
237,Southern Asia,708.0,0.33916101694915257,0.7220415085648603,-3.534,-0.1,0.334,0.8037500000000001,3.098
238,Southern Europe,708.0,0.5723361581920904,1.080482494763937,-2.853,-0.10525,0.572,1.2847499999999998,3.957
239,Spain,708.0,0.6238276836158193,1.2021958663038792,-3.056,-0.1355,0.5934999999999999,1.4825,4.759
240,Sri Lanka,708.0,0.4929774011299434,0.5306591530238624,-0.988,0.10225,0.4945,0.8505,2.107
241,Sudan,108.0,1.2234629629629632,0.9128582146810998,-1.313,0.7112499999999999,1.271,1.86775,3.905
242,Sudan (former),600.0,0.3628816666666667,0.8129045294213904,-3.221,-0.1,0.3955,0.816,3.584
243,Suriname,708.0,0.5535790960451977,0.6812308589067021,-1.13,0.04675,0.473,1.05725,2.574
244,Svalbard and Jan Mayen Islands,708.0,0.8517598870056498,3.072675333425326,-8.963,-0.6847500000000001,0.6715,2.2425,11.759
245,Sweden,708.0,0.6795805084745762,2.1127945002527975,-7.028,-0.5575,0.696,1.89475,8.521
246,Switzerland,708.0,0.7187203389830509,1.687017257108217,-5.015,-0.439,0.7155,1.8835,6.171
247,Syrian Arab Republic,708.0,0.42880932203389827,1.3736052034563941,-4.083,-0.447,0.449,1.36325,4.47
248,Tajikistan,336.0,0.8495833333333332,1.4613652721706738,-5.384,-0.125,0.8445,1.66075,5.608
249,Thailand,708.0,0.40355790960451976,0.7296780350478337,-2.417,-0.029500000000000002,0.371,0.8152499999999999,2.781
250,Timor-Leste,561.0,0.40058288770053474,0.7848341162260727,-2.295,-0.105,0.398,0.9,3.005
251,Togo,708.0,0.5352485875706215,0.6216873947242006,-1.136,0.054,0.5345,1.01,2.224
252,Tokelau,471.0,0.24962208067940553,0.837067363935977,-2.299,-0.1995,0.143,0.5445,3.551
253,Tonga,708.0,0.4848559322033898,0.6800289860960436,-1.326,0.008,0.484,0.9584999999999999,2.496
254,Trinidad and Tobago,658.0,0.46385866261398173,0.6461301920252686,-1.755,0.01425,0.425,0.89025,2.397
255,Tunisia,708.0,0.7983700564971751,1.3060411006165051,-2.449,-0.21775,0.726,1.69575,4.881
256,Turkey,708.0,0.3960790960451978,1.5130891514238234,-4.384,-0.506,0.448,1.39675,4.792
